Customer_ID,Tenure_Months,Contract_Type,Internet_Service,Monthly_Charges_USD,Total_Charges_USD,Tech_Support_Calls,Churned
CUST-1425,36,One year,No,27.61,1006.2,2,No
CUST-1426,31,Two year,Fiber optic,75.42,2305.99,3,No
CUST-1427,54,Month-to-month,Fiber optic,114.7,6204.36,1,Yes
CUST-1428,63,Month-to-month,Fiber optic,89.15,5674.01,0,No
CUST-1429,1,One year,DSL,67.74,92.94,3,Yes
CUST-1430,52,One year,DSL,52.6,2705.54,1,No
CUST-1431,57,One year,Fiber optic,113.24,6444.54,4,No
CUST-1432,9,Month-to-month,DSL,72.96,603.33,0,Yes
CUST-1433,56,Month-to-month,DSL,41.46,2385.54,1,No
CUST-1434,47,Month-to-month,Fiber optic,94.56,4485.35,1,Yes
CUST-1435,3,Month-to-month,Fiber optic,82.64,193.5,1,Yes
CUST-1436,2,Two year,DSL,73.06,272.17,2,Yes
CUST-1437,54,Month-to-month,DSL,53.77,2892.73,2,Yes
CUST-1438,37,One year,No,18.29,691.51,1,No
CUST-1439,56,Month-to-month,Fiber optic,70.53,3932.8,1,Yes
CUST-1440,31,Month-to-month,DSL,72.51,2268.81,3,No
CUST-1441,12,Two year,Fiber optic,111.57,1343.54,5,Yes
CUST-1442,58,One year,No,27.49,1524.54,2,No
CUST-1443,67,Two year,DSL,44.85,3063.63,2,No
CUST-1444,26,Month-to-month,DSL,73.09,1858.93,2,No
CUST-1445,12,Month-to-month,Fiber optic,83.03,1042.22,1,No
CUST-1446,16,Month-to-month,Fiber optic,105.68,1679.29,3,No
CUST-1447,53,Month-to-month,DSL,45.43,2410.96,1,No
CUST-1448,49,Month-to-month,Fiber optic,101.27,4986.34,1,Yes
CUST-1449,49,Two year,Fiber optic,86.87,4263.49,3,No
CUST-1450,7,Month-to-month,Fiber optic,89.37,662.78,1,No
CUST-1451,15,Two year,Fiber optic,79.35,1154.84,4,Yes
CUST-1452,36,Month-to-month,DSL,63.05,2321.64,0,No
CUST-1453,15,One year,Fiber optic,112.6,1637.47,1,No
CUST-1454,62,Month-to-month,Fiber optic,106.8,6575.96,0,No
CUST-1455,18,Month-to-month,Fiber optic,112.1,2046.75,2,No
CUST-1456,46,Two year,No,23.53,1134.86,1,No
CUST-1457,61,Month-to-month,No,26.24,1614.83,0,No
CUST-1458,43,One year,DSL,58.17,2575.92,6,Yes
CUST-1459,44,One year,DSL,54.96,2376.56,1,No
CUST-1460,66,Two year,Fiber optic,89.82,5869.85,0,Yes
CUST-1461,55,One year,DSL,57.37,3197.26,4,Yes
CUST-1462,39,Month-to-month,DSL,68.39,2673.33,3,No
CUST-1463,5,One year,DSL,63.34,357.01,0,No
CUST-1464,57,Month-to-month,Fiber optic,74.98,4222.46,3,Yes
CUST-1465,15,Month-to-month,DSL,56.6,826.84,1,No
CUST-1466,16,Month-to-month,No,22.52,447.46,0,No
CUST-1467,57,Month-to-month,No,19.59,1106.58,2,No
CUST-1468,25,Month-to-month,DSL,66.65,1737.58,2,No
CUST-1469,22,Two year,Fiber optic,78.17,1758.58,6,Yes
CUST-1470,31,Month-to-month,Fiber optic,89.38,2756.51,1,Yes
CUST-1471,34,Two year,No,22.89,848.85,1,No
CUST-1472,16,Month-to-month,Fiber optic,100.86,1630.08,3,No
CUST-1473,70,One year,DSL,58.55,4099.18,0,No
CUST-1474,59,Month-to-month,Fiber optic,113.61,6699.0,4,Yes
CUST-1475,15,Month-to-month,DSL,44.01,682.09,1,Yes
CUST-1476,13,Two year,DSL,41.85,487.63,1,No
CUST-1477,24,Two year,No,26.85,689.35,1,No
CUST-1478,13,Month-to-month,Fiber optic,84.73,1123.56,1,Yes
CUST-1479,65,Two year,DSL,43.65,2808.69,2,No
CUST-1480,36,One year,No,23.34,776.82,3,No
CUST-1481,49,Two year,No,19.24,930.23,3,No
CUST-1482,48,One year,DSL,45.36,2189.79,1,No
CUST-1483,43,Two year,DSL,60.2,2596.4,1,No
CUST-1484,6,Two year,No,21.83,138.47,0,No
CUST-1485,68,Month-to-month,DSL,46.77,3214.05,0,Yes
CUST-1486,14,Month-to-month,DSL,42.83,542.09,1,No
CUST-1487,30,Month-to-month,Fiber optic,94.93,2844.63,2,Yes
CUST-1488,8,One year,Fiber optic,104.55,851.29,1,No
CUST-1489,54,Two year,Fiber optic,100.89,5471.1,2,No
CUST-1490,66,One year,DSL,44.59,2987.88,3,No
CUST-1491,4,One year,DSL,47.99,181.79,1,No
CUST-1492,60,Month-to-month,Fiber optic,109.18,6553.47,2,Yes
CUST-1493,53,Month-to-month,No,21.02,1076.98,3,No
CUST-1494,15,Month-to-month,DSL,67.94,1038.51,0,Yes
CUST-1495,1,One year,DSL,44.64,18.0,2,No
CUST-1496,22,Month-to-month,No,25.68,593.65,2,Yes
CUST-1497,15,Month-to-month,Fiber optic,87.93,1378.01,2,No
CUST-1498,22,Month-to-month,DSL,72.27,1613.35,1,No
CUST-1499,50,Month-to-month,DSL,46.65,2396.66,2,No
CUST-1500,48,Month-to-month,DSL,46.58,2213.17,3,No
CUST-1501,51,Month-to-month,Fiber optic,72.54,3639.6,4,Yes
CUST-1502,17,Two year,Fiber optic,96.64,1634.79,4,No
CUST-1503,51,Month-to-month,DSL,68.04,3439.34,0,No
CUST-1504,37,Two year,Fiber optic,80.3,2946.43,2,No
CUST-1505,49,Month-to-month,Fiber optic,82.3,3921.61,3,Yes
CUST-1506,59,Two year,No,21.74,1291.44,0,No
CUST-1507,10,One year,DSL,62.48,625.88,1,No
CUST-1508,30,Two year,No,26.64,841.35,5,No
CUST-1509,21,Two year,DSL,66.45,1423.1,1,No
CUST-1510,34,One year,DSL,50.41,1705.17,1,No
CUST-1511,50,Two year,No,20.37,1064.14,1,No
CUST-1512,47,One year,No,20.64,1014.41,1,No
CUST-1513,6,One year,Fiber optic,114.84,664.69,4,Yes
CUST-1514,50,Month-to-month,No,24.88,1253.81,2,No
CUST-1515,63,Two year,Fiber optic,113.54,7228.54,0,No
CUST-1516,12,Two year,Fiber optic,80.61,983.65,2,No
CUST-1517,41,Month-to-month,DSL,73.15,2958.04,1,No
CUST-1518,31,One year,No,27.72,803.2,1,No
CUST-1519,2,Two year,No,19.62,18.0,3,No
CUST-1520,16,One year,Fiber optic,92.97,1385.13,1,Yes
CUST-1521,1,Two year,DSL,70.8,46.6,1,Yes
CUST-1522,4,Month-to-month,No,25.35,92.67,1,Yes
CUST-1523,47,Month-to-month,Fiber optic,96.98,4509.24,0,No
CUST-1524,65,Month-to-month,DSL,74.25,4792.04,3,No
CUST-1525,52,Month-to-month,DSL,69.66,3574.62,5,No
CUST-1526,47,Month-to-month,Fiber optic,112.3,5199.1,1,No
CUST-1527,50,Month-to-month,DSL,44.98,2240.51,0,No
CUST-1528,45,Month-to-month,Fiber optic,109.66,4968.13,4,Yes
CUST-1529,42,Month-to-month,Fiber optic,81.48,3396.66,7,No
CUST-1530,56,Month-to-month,Fiber optic,85.75,4858.81,1,Yes
CUST-1531,71,One year,DSL,50.45,3589.61,1,No
CUST-1532,57,Month-to-month,DSL,70.93,4087.66,3,Yes
CUST-1533,33,Month-to-month,Fiber optic,76.87,2538.29,4,No
CUST-1534,28,Month-to-month,DSL,50.21,1439.44,2,No
CUST-1535,44,Month-to-month,Fiber optic,78.96,3403.69,0,No
CUST-1536,56,Two year,No,24.73,1427.0,3,No
CUST-1537,44,Month-to-month,DSL,56.95,2506.13,1,Yes
CUST-1538,34,Two year,Fiber optic,98.79,3413.76,1,No
CUST-1539,14,Month-to-month,Fiber optic,73.42,1015.27,4,Yes
CUST-1540,68,Two year,Fiber optic,95.76,6598.76,3,No
CUST-1541,29,Month-to-month,No,25.94,778.95,1,No
CUST-1542,17,Month-to-month,DSL,50.37,811.03,4,Yes
CUST-1543,9,Two year,DSL,59.62,592.99,2,No
CUST-1544,27,Month-to-month,Fiber optic,111.16,2948.43,2,No
CUST-1545,49,One year,DSL,60.86,2926.45,3,No
CUST-1546,37,Month-to-month,No,22.55,898.79,0,No
CUST-1547,28,One year,Fiber optic,103.18,2905.81,2,No
CUST-1548,50,Two year,DSL,71.57,3582.12,1,No
CUST-1549,55,Two year,No,21.86,1177.1,1,No
CUST-1550,4,Month-to-month,DSL,59.63,280.1,0,Yes
CUST-1551,19,Month-to-month,Fiber optic,96.1,1812.31,0,No
CUST-1552,37,Two year,Fiber optic,104.46,3875.1,5,No
CUST-1553,4,Two year,Fiber optic,82.19,272.4,2,No
CUST-1554,37,Month-to-month,No,19.97,736.01,2,No
CUST-1555,51,One year,DSL,61.41,3140.67,4,Yes
CUST-1556,32,Month-to-month,No,22.49,746.4,3,No
CUST-1557,45,Two year,Fiber optic,87.31,3945.84,0,No
CUST-1558,12,Month-to-month,Fiber optic,83.67,987.36,3,No
CUST-1559,41,One year,Fiber optic,108.52,4463.56,2,No
CUST-1560,56,One year,Fiber optic,103.92,5868.56,2,No
CUST-1561,14,Two year,Fiber optic,85.55,1123.5,3,No
CUST-1562,54,Two year,Fiber optic,89.56,4827.97,0,No
CUST-1563,63,Month-to-month,No,21.07,1337.85,0,No
CUST-1564,65,One year,Fiber optic,106.5,6876.39,0,No
CUST-1565,58,Two year,DSL,65.95,3871.59,1,No
CUST-1566,21,One year,No,22.81,508.99,1,No
CUST-1567,4,One year,No,23.56,144.15,1,No
CUST-1568,46,One year,Fiber optic,104.84,4930.62,2,No
CUST-1569,12,Month-to-month,No,20.07,257.35,1,Yes
CUST-1570,30,One year,Fiber optic,95.12,2839.44,3,Yes
CUST-1571,60,Month-to-month,Fiber optic,88.43,5352.73,2,Yes
CUST-1572,71,Month-to-month,No,20.87,1452.37,1,Yes
CUST-1573,65,Two year,DSL,64.45,4212.46,2,No
CUST-1574,14,Month-to-month,No,25.54,409.4,1,No
CUST-1575,44,Month-to-month,No,27.31,1243.25,3,No
CUST-1576,26,Month-to-month,Fiber optic,76.35,2055.47,2,Yes
CUST-1577,16,Month-to-month,DSL,61.28,966.82,2,No
CUST-1578,7,Two year,Fiber optic,100.28,737.41,3,No
CUST-1579,32,One year,DSL,64.07,2054.88,2,No
CUST-1580,16,Month-to-month,Fiber optic,96.1,1550.26,0,No
CUST-1581,62,Month-to-month,Fiber optic,96.68,6006.82,1,No
CUST-1582,30,Month-to-month,No,27.79,860.65,0,No
CUST-1583,71,Month-to-month,No,18.86,1337.39,0,Yes
CUST-1584,12,One year,DSL,70.73,777.74,4,No
CUST-1585,67,Month-to-month,DSL,63.14,4238.09,1,No
CUST-1586,46,One year,DSL,50.67,2348.91,4,No
CUST-1587,43,Month-to-month,DSL,56.84,2442.03,3,No
CUST-1588,55,Month-to-month,No,19.61,1100.32,4,Yes
CUST-1589,45,Month-to-month,Fiber optic,95.65,4298.08,3,No
CUST-1590,60,Month-to-month,Fiber optic,71.74,4290.84,2,No
CUST-1591,71,Two year,No,19.92,1483.87,1,No
CUST-1592,32,Month-to-month,No,18.32,699.09,1,No
CUST-1593,8,Month-to-month,DSL,59.51,520.06,2,No
CUST-1594,62,Two year,Fiber optic,79.69,4912.05,1,No
CUST-1595,20,One year,No,22.99,471.05,2,No
CUST-1596,18,Month-to-month,DSL,71.14,1288.02,0,No
CUST-1597,6,Two year,DSL,57.15,376.44,2,No
CUST-1598,29,Month-to-month,DSL,59.02,1720.99,2,No
CUST-1599,4,One year,Fiber optic,76.58,337.07,1,No
